file_id;id;class
8;14;11
8;15;11
8;16;11
8;17;12
8;18;37
8;19;24
8;20;3
8;21;24
8;22;28
8;23;24
8;24;27
8;25;32
8;26;38
8;27;38
8;28;24
8;29;12
8;30;24
8;31;19
8;32;19
8;33;21
8;34;19
8;35;12
8;36;16
8;37;24
8;38;15
8;39;20
8;40;20
8;41;28
8;42;21
8;43;21
8;44;21
8;45;21
8;46;19
8;47;19
8;48;1
8;49;10
8;50;24
8;51;22
8;52;19
8;53;15
8;54;15
8;55;20
8;56;21
8;57;21
8;58;21
8;59;21
8;60;21
8;61;17
8;62;22
8;63;18
8;64;35
8;65;18
8;66;19
8;67;19
8;68;21
8;69;22
8;70;35
8;71;19
8;72;28
8;73;29
8;74;27
8;75;22
8;76;22
8;77;36
8;78;36
8;79;37
8;80;38
8;81;38
8;82;38
8;83;38
8;84;35
9;1;2
9;2;5
9;3;37
9;4;7
9;5;2
9;6;27
9;7;27
9;8;19
9;9;15
9;10;16
9;11;27
9;12;27
9;13;27
9;14;8
9;15;19
9;16;15
9;17;19
9;18;11
9;19;19
9;20;27
9;21;9
9;22;2
9;23;10
9;24;10
9;25;10
9;26;10
9;27;18
9;28;10
9;29;10
9;30;10
9;31;10
9;32;10
9;33;17
9;34;17
9;35;21
9;36;17
9;37;17
9;38;20
9;39;35
9;40;20
9;41;22
9;42;27
9;43;22
9;44;27
9;45;28
9;46;24
9;47;22
9;48;24
9;49;32
9;50;24
9;51;36
9;52;31
9;53;25
9;54;38
9;55;18
9;56;35
9;57;11
9;58;11
9;59;11
9;60;11
9;61;11
9;62;11
9;63;19
9;64;11
9;65;21
9;66;21
9;67;21
9;68;28
9;69;27
9;70;12
9;71;37
9;72;37
9;73;38
9;74;38
9;75;38
9;76;38
10;1;2
10;2;2
10;3;2
10;4;3
10;5;11
10;6;2
10;7;30
10;8;24
10;9;24
10;10;24
10;11;24
10;12;33
10;13;19
10;14;30
10;15;30
10;16;30
10;17;30
10;18;30
10;19;31
10;20;24
10;21;32
10;22;36
10;23;27
10;24;24
10;25;25
10;26;24
10;27;24
10;28;18
10;29;11
10;30;11
10;31;11
10;32;19
10;33;11
10;34;19
10;35;19
10;36;11
10;37;19
10;38;19
10;39;19
10;40;11
10;41;22
10;42;19
10;43;19
10;44;19
10;45;19
10;46;20
10;47;21
10;48;21
10;49;21
10;50;29
10;51;28
10;52;27
10;53;27
10;54;27
10;55;27
10;56;27
10;57;27
10;58;27
10;59;27
10;60;27
10;61;36
10;62;36
10;63;36
10;64;37
10;65;38
10;66;38
10;67;38
10;68;38
10;69;35
10;70;15
10;71;7
